state,full_name,population,governor,president
AK,Alaska,"731,545",R,R
AL,Alabama,"4,903,185",R,R
AR,Arkansas,"3,017,804",R,R
AZ,Arizona,"7,278,717",R,R
CA,California,"39,512,223",D,D
CO,Colorado,"5,758,736",D,D
CT,Connecticut,"3,565,287",D,D
DC,District of Columbia,"705,749",D,D
DE,Delaware,"973,764",D,D
FL,Florida,"21,477,737",R,R
GA,Georgia,"10,617,423",R,R
HI,Hawaii,"1,415,872",D,D
IA,Iowa,"3,155,070",R,R
ID,Idaho,"1,787,065",R,R
IL,Illinois,"12,671,821",D,D
IN,Indiana,"6,732,219",R,R
KS,Kansas,"2,913,314",D,R
KY,Kentucky,"4,467,673",D,R
LA,Louisiana,"4,648,794",D,R
MA,Massachusetts,"6,892,503",R,D
MD,Maryland,"6,045,680",R,D
ME,Maine,"1,344,212",D,D
MI,Michigan,"9,986,857",D,R
MN,Minnesota,"5,639,632",D,D
MO,Missouri,"6,137,428",R,R
MS,Mississippi,"2,976,149",R,R
MT,Montana,"1,068,778",D,R
NC,North Carolina,"10,488,084",D,R
ND,North Dakota,"762,062",R,R
NE,Nebraska,"1,934,408",R,R
NH,New Hampshire,"1,359,711",R,D
NJ,New Jersey,"8,882,190",D,D
NM,New Mexico,"2,096,829",D,D
NV,Nevada,"3,080,156",D,D
NY,New York,"19,453,561",D,D
OH,Ohio,"11,689,100",R,R
OK,Oklahoma,"3,956,971",R,R
OR,Oregon,"4,217,737",D,D
PA,Pennsylvania,"12,801,989",D,R
PR,Puerto Rico,"3,193,694",D,D
RI,Rhode Island,"1,059,361",D,D
SC,South Carolina,"5,148,714",R,R
SD,South Dakota,"884,659",R,R
TN,Tennessee,"6,829,174",R,R
TX,Texas,"28,995,881",R,R
UT,Utah,"3,205,958",R,R
VA,Virginia,"8,535,519",D,D
VT,Vermont,"623,989",R,D
WA,Washington,"7,614,893",D,D
WI,Wisconsin,"5,822,434",D,R
WV,West Virginia,"1,792,147",R,R
WY,Wyoming,"578,759",R,R
